id,Car,Model,Vin,year,DateSales,Address
385,Honda,Accord,WAUMR44EX6N045802,1988,2016-06-03,Room 1816
386,Pontiac,LeMans,1FTMF1EW7AK740716,1966,,
387,Ford,Taurus,1FTEW1CM3DK878490,1998,2011-09-17,
388,Mazda,Millenia,WBXPC93507W175490,1996,2011-02-16,Suite 84
389,Dodge,Dakota,WBA4C9C53FD808233,,2016-05-12,8th Floor
390,Toyota,Corolla,WP1AE2A2XCL020031,,,
391,Cadillac,Sixty Special,1G6DP57V390108463,1993,,
392,Chevrolet,Blazer,WBA4A7C56FD097086,,,PO Box 58398
393,Ford,Escape,KNAFT4A26A5661462,2010,,
394,GMC,Vandura 3500,3VWF17AT0FM923901,,2012-03-17,PO Box 33965
395,Volvo,V40,WDDHF0EB6EA912649,2000,2002-06-30,
396,Lexus,GX,KMHCT4AEXEU992438,2003,2015-10-27,16th Floor
397,Dodge,Stratus,SCFAB42313K420082,2004,,
398,BMW,7 Series,1G6DV5EPXB0932282,2012,2008-03-10,2nd Floor
399,Pontiac,Grand Am,3C4PDDEG7DT868215,,2004-04-19,
400,Infiniti,G37,JH4KC1F59EC365211,2008,,PO Box 60051
401,BMW,530,JTDKTUD36DD048533,2004,2004-06-22,9th Floor
402,Mercury,Villager,5N1AR2MMXFC213656,1994,,
403,BMW,M6,1N6AA0CAXAN540110,2010,2004-11-20,4th Floor
404,Ford,Freestar,WBAYM1C50DD457892,2003,2017-09-13,Apt 694
405,Volvo,S80,1G6DL5EG0A0788259,2000,2009-03-04,
406,Jeep,Grand Cherokee,WAU4FAFR2CA601207,1998,,
407,GMC,Suburban 2500,JH4NA12632T575168,1996,2021-02-10,
408,Ford,Explorer,1FBNE3BL3CD337888,2007,,
409,Hyundai,Tucson,1FTMF1EW6AF540807,2012,2015-10-15,
410,Kia,Optima,1GYS4PKJ6FR869759,,,
411,Subaru,Legacy,1G6DN57SX40063445,,2004-08-18,
412,Lotus,Elise,KNAFK4A65E5205710,,,
413,Lexus,ES,JN1AZ4EH3CM592011,1989,2006-09-05,Room 50
414,Subaru,Legacy,SAJWA4GB7FL722063,1995,2017-09-30,
415,Land Rover,LR3,1FTKR1AD5AP830601,,,
416,Lincoln,MKZ,JTHBE1BL5E5504785,2011,2004-10-24,
417,Mazda,B-Series,WAUGFAFC0EN503345,1997,,
418,Pontiac,Firebird,JH4DC53866S546255,2001,,17th Floor
419,Buick,Regal,WAUVC58E24A198765,2001,2004-10-18,
420,Ford,Explorer,5UXZV4C58DL687609,2003,,Apt 1423
421,Infiniti,IPL G,SCFAD02A67G320120,2012,2001-12-01,
422,Mitsubishi,Expo,WAUEH78E37A405228,1993,2018-11-28,Apt 618
423,Cadillac,DeVille,SCBCU8ZA3AC406904,1996,,
424,Porsche,911,WBAUP7C52BV074262,1994,,Suite 94
425,Subaru,Legacy,YV4940BL2D1534360,2006,2005-02-25,
426,Chevrolet,Malibu Maxx,WVWAP7AN3DE945097,,,
427,Toyota,Avalon,JH4CL96966C495518,2007,2005-06-27,PO Box 12025
428,GMC,Yukon XL 2500,2C3CCAGGXCH441510,2009,,
429,Pontiac,Safari,3GTU2YEJ1DG473192,1986,,
430,Porsche,911,WAUBGBFC2CN044619,2004,2021-02-27,PO Box 16566
431,Cadillac,DTS,1N6AF0KYXEN140389,2009,,
432,Ford,Escort,WA1CGCFE0BD933013,1990,2012-01-21,16th Floor
433,Honda,Accord,JN1CV6EL7FM908048,1989,2018-08-27,Room 1341
434,Chevrolet,Corvette,JTDKN3DU3F0003900,1975,,
435,Chrysler,Town & Country,WAUNE78P38A967836,,,Suite 14
436,Mitsubishi,Excel,1FADP5AU4DL634112,,,Room 1742
437,Mitsubishi,3000GT,JTJBARBZ3F2961062,,,
438,Ford,F-Series,JM1GJ1U50F1968688,2007,,Suite 53
439,Nissan,Sentra,19VDE1F70DE503157,2006,,
440,Audi,Allroad,YV4952CT6D1726405,,,
441,Dodge,D250 Club,3VW517AT9EM189690,,2012-12-20,15th Floor
442,GMC,Yukon,1GYS4JEF7ER038239,2002,2008-08-25,Suite 66
443,Chevrolet,Express 2500,3VWF17ATXFM761016,2005,,
444,Saab,900,JM1NC2MF4D0809918,,2009-11-03,
445,Jeep,Wrangler,1GYS4EEJXDR275480,2000,2011-12-12,16th Floor
446,Honda,Accord,1G6DV1EP5C0363836,1994,2005-12-05,
447,Hyundai,Veracruz,19XFB4F27FE254602,2012,,
448,Volvo,V70,KNALN4D70E5239780,2009,,Suite 75
449,Infiniti,G35,WBAWC3C52AP088663,2007,,PO Box 7522
450,Aston Martin,DBS,WAUHFBFL3AN105826,2012,2017-04-03,PO Box 50178
451,Chevrolet,G-Series G10,2G4GN5EK5C9579712,1992,,
452,Dodge,Ram Van 1500,KNDPB3A22D7805621,2002,2019-07-19,
453,Honda,Insight,SCBCR73W67C211713,2010,,Apt 417
454,Dodge,Challenger,WDDEJ7GB5BA856609,2008,,
455,Lexus,RX,2T1BURHE7FC663355,2011,2015-10-09,
456,Mercury,Lynx,2C3CA9CTXAH053374,1984,,
457,Mercury,Cougar,1FTEX1EWXAK914828,,,
458,Lotus,Esprit,WAUGL78E86A537939,1996,2019-06-11,
459,Chevrolet,Malibu,1G4GA5GR3EF613629,,,
460,Lotus,Esprit,JTDZN3EU5D3756028,,,9th Floor
461,Volkswagen,CC,WAUWMAFC3EN100431,2013,2006-05-04,
462,Lincoln,MKS,1FAHP3E28CL227407,2009,2020-10-05,
463,Porsche,Panamera,1G6DH8E38E0393266,2013,2000-12-06,Room 339
464,Chevrolet,Impala,4JGBB2FB8BA804613,2008,2004-10-07,
465,Ford,Focus ST,1GT01XEG5FZ789939,2013,2013-11-05,11th Floor
466,Ford,Fusion,4A4JM2AS8AE054373,2010,2022-03-07,Apt 1998
467,Nissan,Armada,WAUJT68EX2A327773,2007,,PO Box 51744
468,Mitsubishi,Montero,JM1NC2JF4C0638509,2002,2002-08-10,Room 632
469,Nissan,300ZX,1FTFW1E89AK979498,1994,2010-12-16,
470,Porsche,968,1GTN2TEHXFZ950631,,,PO Box 99928
471,Hyundai,Genesis,WA1DGBFP5DA842968,,,Suite 13
472,Jeep,Grand Cherokee,5GAKVCKD5FJ119081,,2003-06-24,Suite 31
473,Infiniti,QX56,SALAG2V65FA816304,2010,,
474,Volvo,240,WAUSF78E38A184918,1992,2015-05-18,
475,GMC,Sierra 1500,JA32X2HU2EU141710,2008,,
476,Volvo,S40,WDCGG0EB8EG542279,,2002-07-01,Room 1407
477,Dodge,Ram Van 2500,5UXWX7C51DL067568,,2012-09-16,Room 179
478,Plymouth,Voyager,1GD02ZCG0BZ216917,1997,2022-11-11,
479,Mercedes-Benz,SLK-Class,WBA3A9C50DF942541,,,
480,Subaru,Legacy,WBADN63421G239320,,2019-09-24,
481,Chevrolet,Express,KMHFG4JG6CA967537,2011,,Suite 23
482,Subaru,Outback,WDDJK7DA1DF569698,2009,,
483,Jeep,Cherokee,2LMHJ5AT6FB112993,1998,,
484,Buick,Riviera,1VWAH7A34EC025341,,,
485,Mazda,Familia,WUARL48H26K203424,1989,,Room 272
486,Hyundai,Santa Fe,3VW4A7AT6DM286775,2008,,
487,Dodge,Ram 2500,5TFCM5F13AX168898,,2004-12-15,
488,Pontiac,Grand Am,5UXXW3C52F0335600,1985,2017-02-24,
489,Dodge,Dakota Club,3N1CN7AP0FL855556,2001,2016-11-02,Room 40
490,Porsche,Boxster,WBA3T7C51F5827566,2012,2010-03-08,
491,Volkswagen,Jetta,19UUA9F72DA197309,1988,2013-06-06,
492,Ford,Probe,2HNYD2H41DH764932,,2019-10-09,Room 142
493,Volkswagen,Tiguan,1FMEU3BEXAU900444,2009,2015-06-18,
494,Volkswagen,Tiguan,3D7LP2ET3AG913782,2011,2021-11-07,
495,Mitsubishi,Chariot,WAUAC68DX1A002501,1995,2013-03-30,Apt 352
496,Nissan,Altima,1G6DV5EP0B0610119,1996,2016-09-30,
497,Honda,Accord,2C3CA2CV1AH014942,2007,2006-08-06,
498,Dodge,Viper,JA4AP3AU7CZ112873,1993,2005-03-23,
499,Subaru,XT,5GAKRDED3CJ823815,1986,,
500,Saab,9-3,WAUJT68E72A480367,2001,,
501,Honda,CR-V,JN8AZ2KR1AT723068,2002,2002-11-29,Apt 1714
502,Mercedes-Benz,500SEL,2C3CDXCT0DH957508,1992,2018-12-17,
503,Infiniti,M,KMHFC4DD5BA474363,2003,,
504,GMC,Sierra 2500,WBA3A9C52CF681380,2012,2013-05-28,
505,Chrysler,Crossfire,1D7RB1GP6AS470555,2005,,
506,Ford,Fusion,NM0KS6BN7AT349409,2010,2020-02-06,
507,Hyundai,Veracruz,KNAFU6A23B5951457,2011,2018-08-25,Apt 634
508,Acura,RSX,1G4GF5G33CF721887,,,Apt 1443
509,Audi,5000S,JN8AF5MRXFT084607,1985,,
510,Mercedes-Benz,300SE,5UXFB53565L889528,1992,2013-09-29,
511,Hyundai,Azera,1FADP5AU5DL696618,2009,2020-08-28,Room 603
512,Geo,Metro,WDDLJ7DB8EA860458,,2002-01-17,Room 1103
513,Pontiac,Grand Prix,3GYFK52289G250590,1986,,
514,Mazda,B-Series Plus,KMHFH4JG2FA885189,2001,,
515,Plymouth,Laser,SCBLC31E71C306325,1994,2005-02-03,
516,Lotus,Esprit,KNAGN4AD7F5497999,1995,2016-10-04,PO Box 17546
517,Ford,Fusion,WA1AV74L27D446375,2008,2017-09-14,4th Floor
518,Kia,Forte,2G4GV5GV2C9698003,2010,2002-04-13,PO Box 72112
519,Chevrolet,Express 2500,3N1CN7AP3FL588736,2010,,
520,Dodge,Durango,1C6RD6PT4CS021268,2007,2018-06-24,9th Floor
521,Nissan,350Z,WAU4FAFR6BA679083,2003,2010-05-17,Suite 28
522,Dodge,Intrepid,2G4GT5GC5B9026794,1993,,
523,Mercury,Grand Marquis,1G6DH5E5XD0011253,1993,,
524,Mercedes-Benz,M-Class,2B3CJ4DV9AH988594,1998,2007-02-22,Room 316
525,Toyota,Avalon,SAJWA2EK1EM461660,1997,,Room 1382
526,Volvo,V40,1N6AD0CU5BC437210,2002,,
527,Ford,Country,WBA3B5C57EP123849,,2006-12-06,
528,Isuzu,Hombre Space,JN8BS1MWXEM955397,1997,,
529,Eagle,Talon,5TFCW5F10DX699927,1993,2003-12-04,
530,Toyota,Celica,2T2BK1BA1DC072914,1994,,
531,Mercury,Grand Marquis,JTDKN3DP3C3126052,1999,2011-12-13,1st Floor
532,Dodge,Ram 1500 Club,JTDZN3EU2FJ881423,1996,2021-10-21,
533,Lexus,RX,KMHHT6KD4BU858446,2012,,
534,Mercury,Sable,1D7RV1CT2BS219057,1998,,Suite 77
535,Mercury,Villager,3VW517ATXFM971644,1999,,
536,Mazda,626,WBAVB73558P530948,2002,2004-09-05,5th Floor
537,Lotus,Exige,SCBLC43F86C385877,2006,,
538,Lincoln,MKZ,4T1BF1FK4EU244008,2012,,Room 435
539,Lincoln,Continental,2C3CDXEJ6EH866613,1991,2002-07-16,
540,Cadillac,Escalade ESV,1C4RDJDG5DC063172,2012,,PO Box 71791
541,Chevrolet,Silverado,5GAKRBKD4DJ116846,2001,2003-02-25,
542,Honda,Accord,SCFFDCBD8AG363995,2000,2018-07-17,Suite 40
543,Mercury,Mountaineer,WAUVT64B73N779512,2010,2008-03-07,Suite 39
544,Mitsubishi,Starion,JTEBW3EH1A2370740,1989,2000-04-10,
545,Nissan,Maxima,WBA3N7C5XFK992334,2005,2018-12-09,Apt 1499
546,Audi,Q7,KNADM5A3XE6917556,,,
547,Toyota,Tundra,1GD22ZCG0DZ185261,2000,2010-03-14,
548,Volkswagen,Cabriolet,1D4PT4GX3BW981928,1985,,
549,Nissan,Xterra,JN8AS5MT3DW898469,2000,2011-03-02,Suite 97
550,Nissan,Quest,JN8AZ1FY8BW053837,1997,,7th Floor
551,Chevrolet,Equinox,JN1AZ4EH5BM072830,2008,2010-12-23,
552,Toyota,4Runner,2LMDJ6JK1BB546695,2010,2010-10-24,Suite 37
553,Nissan,Titan,1HGCR2F33DA787723,,,
554,Chevrolet,3500,1C3BCBFG1DN165777,1997,,4th Floor
555,Lexus,LX,JN8AZ2KR6DT955010,1997,2003-03-22,PO Box 5562
556,Jeep,Liberty,1G4GF5G38EF941481,,,
557,Toyota,Paseo,WBA1M1C56FV033163,1994,2005-06-19,
558,Lotus,Esprit,3C4PDCDGXCT019836,,2016-03-14,
559,Chrysler,LeBaron,5NPEB4AC8CH114870,1995,2013-03-24,Apt 867
560,Nissan,Xterra,WBAUL73539V595769,2003,,Suite 52
561,Pontiac,Vibe,2G4WE587381367769,2004,2014-12-17,
562,Infiniti,FX,WAUGFAFC2DN080511,,2010-07-18,
563,Chevrolet,Tahoe,19XFA1E69AE184129,2010,,
564,Toyota,Tacoma Xtra,1G6AA5RX5F0850619,1996,2005-03-21,PO Box 56204
565,Lamborghini,Gallardo,1GD21XEG6FZ200675,2008,2013-02-09,16th Floor
566,Subaru,Impreza,WBAKX8C53BC082184,,,
567,GMC,Savana 3500,WVGEG9BP4DD801931,1999,,
568,Mercury,Grand Marquis,4T3BA3BB5EU534930,2001,,
569,Cadillac,DTS,2G61T5S32D9033077,2011,,
570,Chevrolet,Astro,1G6KE57Y14U824383,,,Suite 56
571,Volkswagen,GTI,WUARL48H98K219185,,2002-04-15,Room 1509
572,Jaguar,S-Type,TRURD38J391608781,2001,2012-07-24,Apt 1313
573,Volkswagen,Rabbit,WUAGNAFG8BN189497,2006,2005-06-10,Suite 60
574,Aston Martin,V8 Vantage,1GYFC56229R084316,2012,2005-05-14,PO Box 4625
575,Lincoln,Aviator,1GYFC66838R108602,,,
576,Land Rover,Range Rover,1FTSW2B54AE634862,1991,2018-02-23,
577,Lexus,GS,1GYS3CEF0ER234604,2001,2012-02-17,Room 816
578,Subaru,Legacy,19UUA9F55CA086573,2008,2014-05-19,
579,Ford,Fairlane,2B3CA3CV1AH444912,1965,,15th Floor
580,Oldsmobile,Alero,4F2CY0C72AK318481,2001,2005-04-11,Room 902
581,Nissan,Stanza,JN1BJ0HPXEM872518,1992,2011-09-20,Suite 53
582,Porsche,928,JH4CU2F48CC591106,1995,,Apt 731
583,Oldsmobile,Ciera,SAJWA0F79F8478084,,2004-12-14,
584,Chevrolet,1500,3VW517AT6EM230745,1997,2016-11-29,
585,Hyundai,Accent,1G6AS5S32F0274315,,,
586,Audi,4000s Quattro,WAUML44E65N765811,,,
587,Geo,Storm,WA1LGAFE2FD933797,1992,,11th Floor
588,Toyota,Corolla,1C6RD6FP3CS774343,2006,,Apt 462
589,Volvo,V70,WAU2GBFC6DN039344,,,
590,Dodge,Caravan,WBABD33415J638169,1998,,4th Floor
591,Toyota,Corolla,1FM5K7B87EG412791,2008,,
592,Studebaker,Avanti,WAUGL78E95A287318,,,
593,Lotus,Esprit,1G6AB5SX5F0673397,1987,,Apt 513
594,Honda,CR-V,2G4GN5EX0F9551767,1999,2021-06-21,Room 1077
595,Dodge,Ram Wagon B350,1GD22ZCG0CZ971298,1992,,
596,Chevrolet,Suburban 2500,WAUJFAFH0AN604333,2009,2017-12-15,Apt 769
597,Chevrolet,S10,WAUR4AFD1DN455134,1992,2002-08-21,
598,GMC,Sierra 3500,WAUJC68E55A896406,2004,2004-02-11,
599,Toyota,Tacoma,1GTC5MF97C8757270,2012,2022-07-11,
600,Volkswagen,Passat,WAUFFBFL6AN237177,,2015-08-25,
601,Hyundai,XG300,2FMGK5DC4AB565371,,2020-08-18,
602,Ford,Mustang,WAUBF78E27A051212,1980,2005-12-05,Apt 478
603,Infiniti,I,JTJBM7FX8F5389666,,2012-10-31,13th Floor
604,BMW,545,JN1AZ4EHXCM640572,2004,,
605,Saab,9-7X,1D7RB1GT1BS125917,2005,,
606,Ford,Escort,5TDDK4CCXAS343745,1994,,
607,BMW,X5 M,WAUNF78P38A164036,2013,,Room 582
608,Oldsmobile,Regency,JHMFB4F25CS029117,1998,2002-05-14,
609,Chevrolet,Express 1500,1ZVBP8JS9A5758830,,2013-05-12,
610,Volkswagen,rio,1FTEX1CM3DF041809,2001,2002-11-12,
611,Dodge,Ram Van B250,1HGCP2E43AA073649,1993,,Suite 91
612,Ford,Windstar,WAUPFAFM2CA740495,2002,,2nd Floor
613,Saab,9000,1G6KS54Y21U993739,1998,,
614,Cadillac,Escalade,YV4902BZ1C1849323,2010,,4th Floor
615,GMC,Sonoma Club Coupe,1G6AB5R3XF0879964,1994,2018-10-08,PO Box 41783
616,Cadillac,STS,WBA3C1C54DK630757,2008,2005-04-17,Room 473
617,Chevrolet,Express 2500,1FTEX1CM7CF340816,2000,,
618,Mazda,Mazda6,3C4PDCEG5CT594375,2009,2015-02-04,
619,GMC,Savana 2500,JN1AZ4EH9EM926609,2003,2021-10-20,
620,Mitsubishi,Excel,YV1982BW7A1439960,,2006-02-24,PO Box 39328
621,Hyundai,Genesis Coupe,WA1CGBFE3ED604742,2011,2007-06-23,
622,Subaru,Impreza,WAUML64B92N164972,1996,2022-03-24,Room 1163
623,Mitsubishi,Starion,WAUPL58E55A458893,1988,2012-08-26,
624,Volvo,S90,WAUHFAFL0CN990354,1997,,
625,Nissan,Sentra,1FTWW3A57AE436463,2001,,
626,Nissan,Altima,WBAGL63413D946593,1995,,8th Floor
627,Infiniti,Q,2C4JRGAG8ER962915,1997,2003-05-31,
628,Mazda,CX-7,1G6AZ5SX3E0710473,,2014-02-19,
629,Ford,Explorer Sport Trac,4JGBB9FB5AA130380,2007,2020-10-24,Apt 636
630,GMC,Canyon,1FMEU7DE5AU308891,2004,,
631,Nissan,Altima,2C3CCAGG4DH736653,1995,,
632,Maybach,62,1N6AF0KY9FN810631,2007,,PO Box 18213
633,Nissan,Pathfinder,4A31K3DT1AE890756,,,Apt 180
634,Ford,Explorer,WBA5M4C55FD000079,2008,,
635,Volkswagen,GTI,KNDPB3A21D7714520,2011,2019-09-17,Suite 6
636,Chevrolet,Prizm,KNAFT4A22C5719716,,2000-04-04,
637,Lincoln,Navigator L,WUAAU342X9N706370,2007,,
638,GMC,Yukon XL 1500,WAUCFAFRXDA791125,2008,2003-01-20,
639,Mazda,MX-5,JM1GJ1T6XE1213928,2001,,PO Box 53372
640,Toyota,Echo,WVWED7AJ7CW391739,2005,2017-11-25,
641,BMW,325,1FTEX1E83AF643718,2005,2021-08-04,
642,Ford,F-Series,WAUBFCFL4CA931333,2001,2018-09-24,
643,Acura,MDX,5XYKT3A17DG493832,2005,2004-06-08,9th Floor
644,Volkswagen,Eurovan,2HNYD28257H668014,1999,,Apt 1448
645,Ford,Mustang,WA1DMAFPXEA149379,1969,2010-05-17,Room 770
646,Nissan,Xterra,JTHBW1GG0E2385103,,,
647,Lincoln,Navigator L,WAUKH98E07A590269,2008,,
648,Honda,CR-V,WAUPEBFMXDA214643,,,
649,Land Rover,Range Rover,3N1CN7AP9EL946095,1995,,PO Box 5933
650,Ford,E-Series,19UUA755X8A155139,2006,,
651,Nissan,Maxima,1FBAX2CM3FK315643,2002,2006-03-12,Apt 326
652,Chevrolet,Malibu,KNDJT2A11B7811010,,2004-04-16,Suite 69
653,Volvo,S80,WVGFF9BP4BD773374,1999,2008-11-10,
654,Lexus,SC,1G4HP52K34U706108,2000,2007-02-13,
655,Mitsubishi,Challenger,1N4AA5AP6BC759835,2001,,
656,Cadillac,Escalade,5LMJJ2HT2FE690270,,2021-06-29,
657,Ford,Mustang,1C6RD7LP7CS040105,1979,,
658,Pontiac,Sunfire,3D73M4CL1BG500526,1997,2020-03-09,
659,Mitsubishi,Galant,2T1BURHE0EC231379,1998,2016-12-11,
660,Pontiac,Firefly,WBA3T3C59F5113418,1992,2020-11-24,
661,Land Rover,Range Rover,WDDEJ7KB1AA025713,1998,2012-02-12,
662,Mitsubishi,Eclipse,YV1672MK7C2168220,,2006-05-08,Room 1590
663,Hillman,Minx Magnificent,3C6TD4CT0CG404423,1950,2018-01-04,Room 187
664,Dodge,D250,WVGAV7AX7BW882533,1993,,
665,Mercedes-Benz,SL-Class,WAUDF78E38A549039,1993,2003-05-23,Suite 45
666,Hyundai,Scoupe,1N6AA0CC8EN471439,,2001-08-07,PO Box 82567
667,Toyota,Camry Hybrid,JTDJTUD33ED241252,2012,2012-04-15,Apt 1917
668,Audi,A4,1G6AF5SXXE0230813,2008,2021-05-17,Suite 26
669,Chrysler,300,YV1672MS2B2814522,,2014-04-20,Room 1464
670,Lexus,ES,4T3BK3BB5FU786093,1989,2002-11-22,
671,Suzuki,Grand Vitara,WP0AA2A93AS225691,2004,2013-02-20,Apt 96
672,Plymouth,Colt Vista,JH4CU2F68BC236498,1994,2012-09-26,
673,BMW,525,WAU2MAFCXFN582489,,,
674,Mazda,B-Series,JTHBE1KS3A0435867,,2021-10-13,Apt 833
675,Lincoln,Aviator,JN1CV6EK7FM586907,,,
676,Toyota,Corolla,WAUKG58E05A645845,2010,2003-02-03,
677,Nissan,Pathfinder,3N1AB7AP1FL301474,,,Suite 16
678,Jeep,Grand Cherokee,2G4GU5GV1C9918833,2005,2006-09-09,11th Floor
679,Chrysler,Town & Country,1FMCU9D74AK421571,2000,,
680,Volvo,S40,5N1AN0NU7FN268780,2002,2006-07-31,
681,Mitsubishi,Mirage,JM3TB2CV5F0539630,,,9th Floor
682,Dodge,Viper,2LMDJ6JK6BB002516,2009,,
683,Nissan,Altima,1G6AJ5S3XD0921947,1997,2019-04-08,
684,Oldsmobile,Aurora,WAUDGAFL7EA164865,2002,2020-06-18,
685,Citroën,2CV,1G6DM56T550174953,1948,2012-05-02,
686,Subaru,Outback,WAUBFAFL5EN514108,2008,2022-08-08,16th Floor
687,Mazda,B-Series,1G6DJ1EDXB0013392,1997,2010-03-13,
688,Land Rover,Range Rover,WVWGU7AN8CE253399,2007,2000-09-14,
689,Chevrolet,Silverado 1500,WP1AA2A24DL194853,2011,,6th Floor
690,Chevrolet,Express 3500,3G5DA03L47S436218,2000,2006-03-18,16th Floor
691,BMW,6 Series,TRUTC28N111558196,2005,2013-07-10,PO Box 61862
692,Ford,Thunderbird,WAUPL68E05A663995,1997,,
693,Toyota,Supra,2C4RRGAGXER711171,1992,2015-12-11,Room 790
694,Oldsmobile,88,TRURD38J891406907,1997,,
695,Chrysler,300,JH4DB76681S649713,2011,,
696,Dodge,Dakota,1G6DJ5EY1B0257071,,2021-09-30,PO Box 94610
697,Mercedes-Benz,S-Class,1N6AA0EC0FN628945,2010,2014-05-03,
698,Toyota,Camry,1GYS3DEF7ER239062,,2013-11-20,Suite 80
699,Lamborghini,Diablo,KNDPB3A29D7042612,1992,,
700,Buick,Hearse,JTHDL5EF6F5412114,1996,2021-04-28,
701,Chevrolet,Silverado 2500,JM1DE1KY5D0266731,2010,,Apt 215
702,Mercury,Grand Marquis,SCFHDDAJ3CA030308,1994,,
703,Volkswagen,New Beetle,SCFEBBAK2DG939161,2006,2001-01-21,
704,Chevrolet,Suburban,1FTEX1CM5CF223994,2010,,
705,Chrysler,Cirrus,3VW1K7AJ6BM925233,,2015-03-21,
706,Chevrolet,Impala SS,WAUKFAFL3DN704035,1995,,Suite 57
707,GMC,Yukon,2G4WB55K631074197,1992,,
708,Subaru,Outback,1FMCU4K37BK893414,,2002-10-02,Apt 1800
709,Lincoln,Continental,5FNRL5H21FB955658,1987,,
710,Chevrolet,Tracker,4USBU53516L008742,2001,,
711,Ferrari,California,1D7RE3BK7BS347945,2010,,Apt 1562
712,Lexus,GX,1HGCP2E3XAA338395,2004,,
713,Mercedes-Benz,CLS-Class,2G61V5S36D9454097,2009,2004-12-09,PO Box 46755
714,Saab,9-7X,1FMEU7EE7AU349019,2006,,1st Floor
715,Kia,Sedona,3C4PDCBB8FT134740,2011,,Suite 69
716,Chevrolet,Express 3500,JTJBC1BA9E2194029,2006,,
717,Infiniti,QX,1FBSS3BL5AD799717,1998,2004-07-10,
718,Hummer,H1,JTHFF2C27F2215579,1997,,
719,Pontiac,Grand Prix,2FMDK3AK4EB602900,1968,2001-05-08,
720,Ford,Escort,WAUGL78E55A536522,1996,2008-02-07,Apt 1066
721,Mercedes-Benz,S-Class,5N1AA0NC7BN070049,2008,2021-11-12,
722,Dodge,Spirit,SCFAD01A68G759353,1994,2015-01-04,
723,Aston Martin,V8 Vantage,4T1BK1EB3EU962212,2006,2002-03-14,19th Floor
724,Acura,RL,WA1EY94L99D440533,1996,2009-03-18,
725,Chrysler,PT Cruiser,5XXGM4A70EG610346,2006,,PO Box 97640
726,Buick,Estate,YV4902DZ7C2827382,1989,2011-09-25,Suite 98
727,Dodge,Dakota Club,SCBFT7ZA4EC832195,1992,2002-09-03,13th Floor
728,Lexus,LX,WP1AE2A28EL470571,2010,2014-03-02,
729,Jeep,Liberty,1G6DU6EV0A0285042,2005,2020-07-03,Apt 261
730,Subaru,XT,TRUWT28N311765377,1987,2003-01-26,
731,Lincoln,Town Car,WA1CFBFP3DA786012,1984,2015-11-16,
732,Oldsmobile,88,1N6AD0CU2BC046032,1993,2004-06-06,
733,Volkswagen,Golf III,3GTU2YEJ4BG492347,,,
734,Mazda,MX-3,3C6TD5ET7CG398901,1996,2014-02-24,
735,Chevrolet,Silverado 1500,5N1AA0NE5EN209195,2003,,
736,Mercury,Lynx,19XFB2E21CE501095,1985,,
737,Plymouth,Breeze,1B3CB4HA2AD380143,1996,,18th Floor
738,Acura,TSX,4T1BF3EK0AU102472,2008,,
739,Nissan,Titan,5TDDK3DC7CS031023,2012,,14th Floor
740,Lamborghini,Diablo,1FMNE1BW1AD101243,1995,,Room 1656
741,Pontiac,Firebird,WAUNF78P68A422226,1967,,Room 1136
742,Chevrolet,Corvette,1G6DG577990433233,1962,,PO Box 86875
743,Isuzu,i-350,JH4CU4F60DC256775,2006,,
744,Jaguar,X-Type,WBAWR3C57AP289893,,2013-04-10,
745,Lexus,LS Hybrid,YV126MEB5F1497892,2012,,
746,Toyota,4Runner,1FTEW1CM1BK591002,2008,2018-03-12,
747,Ford,Explorer,WAUGL98E88A662308,,2008-10-14,
748,Ford,Explorer Sport,2C3CA9CT7AH535428,2000,2018-04-05,
749,GMC,Sierra 1500,WAUVT68E15A295821,1999,2010-08-03,
750,Toyota,Avalon,SALFP2BN9AH247832,,2017-05-01,
751,Dodge,Avenger,WP0AB2A80CS568921,2009,2009-01-21,
752,BMW,745,WAUMFAFR6FA954537,2004,2002-05-19,
753,Saab,900,1VWAH7A39EC683429,1992,,Room 1177
754,Audi,A4,WVWED7AJ8BW542733,2006,,Suite 4
755,Oldsmobile,Aurora,WBSWD9C50AP639247,2003,,
756,BMW,5 Series,KMHFC4DD6BA674183,2007,,
757,Oldsmobile,Aurora,WBALM73559E262028,2002,2011-03-28,
758,Isuzu,Stylus,WA1CV94L07D161114,1993,2011-06-21,
759,GMC,Rally Wagon 3500,WVGAV7AX6BW961837,1992,,
760,Kia,Sportage,1FMJK1H53BE735672,2007,2019-04-02,
761,Mazda,MPV,1G4GB5GG6AF327389,2006,,
762,Mercedes-Benz,G-Class,SCBBR9ZA2AC045068,,2019-03-22,
763,Lincoln,Continental,JTHBW1GG6D2267765,1989,,
764,Jeep,Commander,1N6AA0CH6FN658322,2010,,Suite 15
765,Lexus,GS,WAUZL64B51N583356,1996,2016-01-16,PO Box 19663
766,Suzuki,Swift,1G6DC1E33D0781025,1994,2005-09-12,
767,BMW,M5,1G6DM1E34C0940422,2010,2010-03-19,PO Box 95618
768,Acura,Integra,TRUWT28N831858835,2001,2005-12-27,
769,Lexus,IS,1G6AV5S88F0314352,2004,,PO Box 15303
770,Mazda,MX-5,5GADX33L45D683150,1993,,Room 1792
771,Maserati,430,ZHWGU5AU3CL237092,,2004-01-08,Suite 43
772,Toyota,Avalon,WAUDF78E56A365184,2011,2017-12-18,Room 508
773,Jeep,Wrangler,WAUPEAFM9DA816668,,,
